time,pnl,equity
2023/7/8 14:15,16.53639078,27145.7961
2023/7/8 14:20,26.36584076,27155.62555
2023/7/8 14:25,26.36584076,27155.62555
2023/7/8 14:30,27.83607628,27157.09579
2023/7/8 14:35,24.01612075,27153.27583
2023/7/8 14:40,29.20529328,27158.465
2023/7/8 14:45,29.90368703,27159.1634
2023/7/8 14:50,27.14916311,27156.40887
2023/7/8 14:55,24.0669877,27153.3267
2023/7/8 15:00,23.38218406,27152.64189
2023/7/8 15:05,19.53340776,27148.79312
2023/7/8 15:10,20.6217182,27149.88143
2023/7/8 15:15,19.10122313,27148.36093
2023/7/8 15:20,21.4906773,27150.75039
2023/7/8 15:25,21.4906773,27150.75039
2023/7/8 15:30,23.46045043,27152.72016
2023/7/8 15:35,24.05841277,27153.31812
2023/7/8 15:40,22.0472739,27151.30698
2023/7/8 15:45,21.39145088,27150.65116
2023/7/8 15:50,20.58416057,27149.84387
2023/7/8 15:55,20.08653982,27149.34625
2023/7/8 16:00,22.14472795,27151.40444
2023/7/8 16:05,38.32131671,27167.58103
2023/7/8 16:10,38.32131671,27167.58103
2023/7/8 16:15,29.48773097,27158.74744
2023/7/8 16:20,29.48773097,27158.74744
2023/7/8 16:25,29.48773097,27158.74744
2023/7/8 16:30,29.48773097,27158.74744
2023/7/8 16:35,29.48773097,27158.74744
2023/7/8 16:40,29.48773097,27158.74744
2023/7/8 16:45,29.48773097,27158.74744
2023/7/8 16:50,29.48773097,27158.74744
2023/7/8 16:55,29.48773097,27158.74744
2023/7/8 17:00,29.48773097,27158.74744
2023/7/8 17:05,42.85619206,27172.1159
2023/7/8 17:10,42.85619206,27172.1159
2023/7/8 17:15,42.85619206,27172.1159
2023/7/8 17:20,53.4529103,27182.71262
2023/7/8 17:25,53.4529103,27182.71262
2023/7/8 17:30,54.41092553,27183.67064
2023/7/8 17:35,54.9821004,27184.24181
2023/7/8 17:40,54.9821004,27184.24181
2023/7/8 17:45,54.9821004,27184.24181
2023/7/8 17:50,56.75708998,27186.0168
2023/7/8 17:55,59.87776793,27189.13748
2023/7/8 18:00,59.87776793,27189.13748
2023/7/8 18:05,60.03112388,27189.29083
2023/7/8 18:10,61.97822866,27191.23794
