time,
2023/6/3 19:15,13059.51072
2023/6/3 19:20,13059.18636
2023/6/3 19:25,13057.65064
2023/6/3 19:30,13057.65064
2023/6/3 19:35,13057.65064
2023/6/3 19:40,13060.05144
2023/6/3 19:45,13060.12621
2023/6/3 19:50,13062.16154
2023/6/3 19:55,13062.16154
2023/6/3 20:00,13062.16154
2023/6/3 20:05,13062.16154
2023/6/3 20:10,13073.19948
2023/6/3 20:15,13073.19948
2023/6/3 20:20,13077.83772
2023/6/3 20:25,13078.0383
2023/6/3 20:30,13078.29995
2023/6/3 20:35,13078.29995
2023/6/3 20:40,13078.09942
2023/6/3 20:45,13077.9804
2023/6/3 20:50,13077.95651
2023/6/3 20:55,13077.95651
2023/6/3 21:00,13077.95651
2023/6/3 21:05,13078.81988
2023/6/3 21:10,13074.66169
2023/6/3 21:15,13074.66169
2023/6/3 21:20,13077.29381
2023/6/3 21:25,13077.65571
2023/6/3 21:30,13077.65571
2023/6/3 21:35,13076.47793
2023/6/3 21:40,13077.11242
2023/6/3 21:45,13077.11242
2023/6/3 21:50,13077.22787
2023/6/3 21:55,13075.05495
2023/6/3 22:00,13073.69138
2023/6/3 22:05,13073.69138
